time_s,timestamp,P,PCP,PWp,PPmax,Eexp_J,Wbal_J,MPA_W,k_strain,SR_total,SR_CP,SR_Wp,SR_Pmax
0,2024-06-10 19:25:27,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
1,2024-06-10 19:25:28,57,57,0,0,0,18147,891,0.19295529320688987,10.998451712792722,10.998451712792722,0,0
2,2024-06-10 19:25:29,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
3,2024-06-10 19:25:30,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
4,2024-06-10 19:25:31,40,40,0,0,0,18147,891,0.1898324447829398,7.5932977913175925,7.5932977913175925,0,0
5,2024-06-10 19:25:32,82,82,0,0,0,18147,891,0.19773899246330823,16.214597381991275,16.214597381991275,0,0
6,2024-06-10 19:25:33,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
7,2024-06-10 19:25:34,56,56,0,0,0,18147,891,0.19276875483372002,10.795050270688321,10.795050270688321,0,0
8,2024-06-10 19:25:35,36,36,0,0,0,18147,891,0.1891122913505311,6.808042488619119,6.808042488619119,0,0
9,2024-06-10 19:25:36,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
10,2024-06-10 19:25:37,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
11,2024-06-10 19:25:38,79,79,0,0,0,18147,891,0.19715246193395294,15.575044492782283,15.575044492782283,0,0
12,2024-06-10 19:25:39,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
13,2024-06-10 19:25:40,79,79,0,0,0,18147,891,0.19715246193395294,15.575044492782283,15.575044492782283,0,0
14,2024-06-10 19:25:41,50,50,0,0,0,18147,891,0.19165705497885427,9.582852748942713,9.582852748942713,0,0
15,2024-06-10 19:25:42,37,37,0,0,0,18147,891,0.18929181697360925,7.003797228023542,7.003797228023542,0,0
16,2024-06-10 19:25:43,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
17,2024-06-10 19:25:44,70,70,0,0,0,18147,891,0.19541356330850648,13.678949431595454,13.678949431595454,0,0
18,2024-06-10 19:25:45,50,50,0,0,0,18147,891,0.19165705497885427,9.582852748942713,9.582852748942713,0,0
19,2024-06-10 19:25:46,37,37,0,0,0,18147,891,0.18929181697360925,7.003797228023542,7.003797228023542,0,0
20,2024-06-10 19:25:47,54,54,0,0,0,18147,891,0.19239675800849093,10.38942493245851,10.38942493245851,0,0
21,2024-06-10 19:25:48,54,54,0,0,0,18147,891,0.19239675800849093,10.38942493245851,10.38942493245851,0,0
22,2024-06-10 19:25:49,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
23,2024-06-10 19:25:50,46,46,0,0,0,18147,891,0.19092301800076597,8.782458828035235,8.782458828035235,0,0
24,2024-06-10 19:25:51,76,76,0,0,0,18147,891,0.19656940063091483,14.939274447949527,14.939274447949527,0,0
25,2024-06-10 19:25:52,48,48,0,0,0,18147,891,0.1912893323100537,9.181887950882578,9.181887950882578,0,0
26,2024-06-10 19:25:53,68,68,0,0,0,18147,891,0.19503129890453835,13.262128325508607,13.262128325508607,0,0
27,2024-06-10 19:25:54,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
28,2024-06-10 19:25:55,50,50,0,0,0,18147,891,0.19165705497885427,9.582852748942713,9.582852748942713,0,0
29,2024-06-10 19:25:56,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
30,2024-06-10 19:25:57,35,35,0,0,0,18147,891,0.18893310593140042,6.612658707599015,6.612658707599015,0,0
31,2024-06-10 19:25:58,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
32,2024-06-10 19:25:59,79,79,0,0,0,18147,891,0.19715246193395294,15.575044492782283,15.575044492782283,0,0
33,2024-06-10 19:26:00,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
34,2024-06-10 19:26:01,46,46,0,0,0,18147,891,0.19092301800076597,8.782458828035235,8.782458828035235,0,0
35,2024-06-10 19:26:02,54,54,0,0,0,18147,891,0.19239675800849093,10.38942493245851,10.38942493245851,0,0
