time_s,timestamp,P,PCP,PWp,PPmax,Eexp_J,Wbal_J,MPA_W,k_strain,SR_total,SR_CP,SR_Wp,SR_Pmax
53,2024-06-02 11:46:11,232,199.4,31.063331405436664,1.5366685945633307,1049.6408083212184,17097.35919167878,850.9971574896703,0.2788942713307663,64.70347094873777,55.6115177033548,8.663385177425367,0.4285680679576128
54,2024-06-02 11:46:12,257,199.4,52.80277617119722,4.797223828802775,1082.2408083212183,17064.759191678782,849.7547394591418,0.28875121255202574,74.20906162587062,57.57699178287393,15.246865645546409,1.3852041974502727
55,2024-06-02 11:46:13,383,199.4,134.85945633314054,48.740543666859445,1139.8408083212182,17007.15919167878,847.5595468653246,0.3432859105664057,131.4785037469334,68.4512105669413,46.295351265812585,16.731941914179504
56,2024-06-02 11:46:14,449,199.4,159.5187969924812,90.0812030075188,1323.4408083212181,16823.55919167878,840.5623704725324,0.38951922283671286,174.89413105368408,77.67013303364055,62.135637832358654,35.088360187684884
57,2024-06-02 11:46:15,470,199.4,164.72325043377674,105.87674956622327,1573.040808321218,16573.959191678783,831.0498692326581,0.41803696126264,196.4773717934408,83.35657007577042,68.86040706064088,44.260394657029515
58,2024-06-02 11:46:16,437,199.4,155.97223828802777,81.62776171197224,1843.6408083212182,16303.359191678781,820.7370373596211,0.41270731962102675,180.3530986743887,82.29383953243274,64.37088439914402,33.68837474281194
59,2024-06-02 11:46:17,418,199.4,149.50520532099478,69.0947946790052,2081.240808321218,16065.759191678782,811.6818679101254,0.41451239156733277,173.2661796751451,82.65377087852616,61.97176020937067,28.640648587248265
60,2024-06-02 11:46:18,241,199.4,39.097744360902254,2.5022556390977435,2299.840808321218,15847.159191678782,803.350807128729,0.3379434811293513,81.44437895217366,67.38593013719264,13.212827833628772,0.8456209813522412
61,2024-06-02 11:46:19,0,0,0,0,2341.440808321218,15805.559191678782,801.7653902554166,0.2647052547180698,0,0,0,0
62,2024-06-02 11:46:20,709,199.4,134.10526315789474,375.4947368421053,2315.853791195243,15831.146208804757,802.7405366181391,0.7542198830148423,534.7418970575233,150.39144467315955,101.14485589062201,283.20559649374167
63,2024-06-02 11:46:21,421,199.4,150.59572006940428,71.00427993059571,2825.453791195243,15321.546208804757,783.3191799200622,0.45874039450244664,193.12970608553005,91.47283466378786,69.08434003501854,32.57253138672363
64,2024-06-02 11:46:22,323,199.4,101.5106998264893,22.089300173510697,3047.053791195243,15099.946208804757,774.8737861910712,0.4111626450468189,132.80553435012249,81.98583142233569,41.737407841213,9.082295086573813
65,2024-06-02 11:46:23,157,157,0,0,3170.653791195243,14976.346208804756,770.1632687501719,0.343086277319293,53.864545539129,53.864545539129,0,0
66,2024-06-02 11:46:24,241,199.4,39.097744360902254,2.5022556390977435,3163.254287685827,14983.745712314172,770.4452710991615,0.37668322215780375,90.7806565400307,75.11063449826607,14.727464324966762,0.9425577167978725
67,2024-06-02 11:46:25,247,199.4,44.32388663967611,3.2761133603238854,3204.854287685827,14942.145712314174,768.8598542258491,0.38124276235967625,94.16696230284003,76.01980681451944,16.898160981027267,1.2489945072933195
68,2024-06-02 11:46:26,343,199.4,113.7836899942163,29.816310005783688,3252.454287685827,14894.545712314173,767.0457714573473,0.4326387858478093,148.39510354579858,86.26817389805318,49.22723748838127,12.899692159364143
69,2024-06-02 11:46:27,279,199.4,70.4384037015616,9.161596298438402,3396.0542876858267,14750.945712314173,761.5730343658171,0.40525876957626683,113.06719671177845,80.8085986535076,28.545780815011213,3.712817243259628
70,2024-06-02 11:46:28,384,199.4,135.32706766917295,49.27293233082706,3475.6542876858266,14671.345712314174,758.5394001563059,0.4697913361320698,180.3998730747148,93.67639242473471,63.575483935135786,23.147996714844304
71,2024-06-02 11:46:29,469,199.4,164.50433776749566,105.09566223250435,3660.2542876858265,14486.745712314174,751.5041127809822,0.5453747782732826,255.78077101016956,108.74773078769256,89.71651673494114,57.31652348753586
72,2024-06-02 11:46:30,415,199.4,148.38866396761134,67.21133603238866,3929.8542876858264,14217.145712314174,741.2293918904768,0.5169834292412248,214.54812313510828,103.08649579070023,76.71448035849947,34.74714698590858
73,2024-06-02 11:46:31,331,199.4,106.5587044534413,25.041295546558704,4145.454287685827,14001.545712314173,733.012664056675,0.4706180352163879,155.7745696566244,93.84123622214776,50.148448125082304,11.784885309394342
74,2024-06-02 11:46:32,354,199.4,120.04077501445923,34.55922498554077,4277.054287685827,13869.945712314173,727.9972587555234,0.49212756822987047,174.21315915337414,98.13023710503617,59.075374696294816,17.00754735204316
