time_s,timestamp,P,PCP,PWp,PPmax,Eexp_J,Wbal_J,MPA_W,k_strain,SR_total,SR_CP,SR_Wp,SR_Pmax
0,2024-06-19 11:31:17,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
1,2024-06-19 11:31:18,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
2,2024-06-19 11:31:19,37,37,0,0,0,18147,891,0.18929181697360925,7.003797228023542,7.003797228023542,0,0
3,2024-06-19 11:31:20,108,108,0,0,0,18147,891,0.20297231270358307,21.92100977198697,21.92100977198697,0,0
4,2024-06-19 11:31:21,112,112,0,0,0,18147,891,0.20380212591986918,22.825838103025347,22.825838103025347,0,0
5,2024-06-19 11:31:22,65,65,0,0,0,18147,891,0.19446069826409204,12.639945387165982,12.639945387165982,0,0
6,2024-06-19 11:31:23,49,49,0,0,0,18147,891,0.19147301709237563,9.382177837526406,9.382177837526406,0,0
7,2024-06-19 11:31:24,85,85,0,0,0,18147,891,0.1983290232743187,16.85796697831709,16.85796697831709,0,0
8,2024-06-19 11:31:25,81,81,0,0,0,18147,891,0.19754309490786606,16.00099068753715,16.00099068753715,0,0
9,2024-06-19 11:31:26,58,58,0,0,0,18147,891,0.19314219294846957,11.202247191011235,11.202247191011235,0,0
10,2024-06-19 11:31:27,76,76,0,0,0,18147,891,0.19656940063091483,14.939274447949527,14.939274447949527,0,0
11,2024-06-19 11:31:28,72,72,0,0,0,18147,891,0.19579732914375492,14.097407698350354,14.097407698350354,0,0
12,2024-06-19 11:31:29,117,117,0,0,0,18147,891,0.20484898294637355,23.967331004725704,23.967331004725704,0,0
13,2024-06-19 11:31:30,90,90,0,0,0,18147,891,0.19932027189124352,17.938824470211916,17.938824470211916,0,0
14,2024-06-19 11:31:31,57,57,0,0,0,18147,891,0.19295529320688987,10.998451712792722,10.998451712792722,0,0
15,2024-06-19 11:31:32,65,65,0,0,0,18147,891,0.19446069826409204,12.639945387165982,12.639945387165982,0,0
16,2024-06-19 11:31:33,56,56,0,0,0,18147,891,0.19276875483372002,10.795050270688321,10.795050270688321,0,0
17,2024-06-19 11:31:34,49,49,0,0,0,18147,891,0.19147301709237563,9.382177837526406,9.382177837526406,0,0
18,2024-06-19 11:31:35,15,15,0,0,0,18147,891,0.18541937883578202,2.7812906825367305,2.7812906825367305,0,0
