"Month","Model","CP","CP_SE","CP_L","CP_U","Wprime","Wprime_SE","Wprime_L","Wprime_U","Pmax","Pmax_SE","Pmax_L","Pmax_U","RMSE"
"Mar-25","Morton (k=1)",220.756625685288,14.9296416909464,191.494527971033,250.018723399543,23587.8914227305,2937.82243837737,17829.7594435108,29346.0234019501,1314.00741167633,55.2254899307522,1205.76545141206,1422.24937194061,24.272333199509
"Mar-25","Xert (k=2)",227.091723356844,10.1559235517167,207.186113195479,246.997333518208,20175.4120644467,1482.77511543224,17269.1728381995,23081.6512906939,1146.67558986032,26.1843716817503,1095.35422136409,1197.99695835655,18.2184019301649
"Apr-25","Morton (k=1)",224.79837944279,5.65691501838858,213.710826006748,235.885932878831,14966.5757712606,880.93621335395,13239.9407930869,16693.2107494344,1374.73817047134,34.1156207866508,1307.87155372951,1441.60478721318,9.96411935322632
"Apr-25","Xert (k=2)",228.236913864843,3.93715949052119,220.520081263422,235.953746466265,13466.805004102,488.502186253087,12509.3407190459,14424.269289158,1140.18290201162,13.6313635358053,1113.46542948144,1166.9003745418,7.40501497796163
"May-25","Morton (k=1)",261.114358747213,6.48739681902095,248.399060981932,273.829656512494,24337.3187257597,1295.69091414547,21797.7645340346,26876.8729174848,1357.47307772281,23.4419903731479,1311.52677659144,1403.41937885418,10.4888383940359
"May-25","Xert (k=2)",271.08850135567,6.2584998712499,258.82184160802,283.35516110332,20020.9460895222,906.275703107814,18244.6457114309,21797.2464676135,1199.19196692036,16.2903024355243,1167.26297414673,1231.12095969398,11.2555176568687
"Jun-25","Morton (k=1)",227.334029535287,18.7752782435307,190.534484177967,264.133574892607,30138.086561016,4392.81023670903,21528.1784970663,38747.9946249657,1247.79879638427,54.5164265343106,1140.94660037702,1354.65099239152,28.5162525943377
"Jun-25","Xert (k=2)",236.869248279651,11.7742340479293,213.791749545709,259.946747013592,24637.3919520569,1958.15133349006,20799.4153384163,28475.3685656974,1118.30303824739,26.8548410651107,1065.66754975978,1170.93852673501,20.2362528596744
"Jul-25","Morton (k=1)",268.440389912746,4.78228128710061,259.067118590029,277.813661235463,21941.0323682885,908.580528310026,20160.2145328009,23721.8502037762,1357.51164410736,18.744717170851,1320.77199845249,1394.25128976223,7.87559531936495
"Jul-25","Xert (k=2)",277.43966442431,6.09073530644126,265.501823223685,289.377505624934,18239.4635842826,850.680161367642,16572.130468002,19906.7967005632,1191.05922311804,16.6023642108364,1158.5185892648,1223.59985697128,11.0748070306532
"Aug-25","Morton (k=1)",207.24380794254,31.2369158074954,146.019452959849,268.468162925231,68424.9399401468,14255.8905986168,40483.3943668579,96366.4855134356,1033.3806012689,44.4896696737587,946.180848708328,1120.58035382946,33.5582052742741
"Aug-25","Xert (k=2)",240.793915775023,27.5636594937367,186.769143167299,294.818688382747,44858.3103711253,7804.94662887719,29560.614978526,60156.0057637246,969.408748557511,41.4183971315703,888.228690179634,1050.58880693539,37.5258996191222
"Sep-25","Morton (k=1)",262.705487369665,9.76087589965953,243.574170606333,281.836804132998,26516.6646273407,2088.01656689919,22424.1521562183,30609.1770984631,1314.33654557251,31.8851092427869,1251.84173145665,1376.83135968838,15.3715612308013
"Sep-25","Xert (k=2)",272.578132338727,6.47549883225437,259.886154627508,285.270110049945,21727.9523205009,993.320943131118,19781.0432719639,23674.8613690379,1171.26374397918,15.8538390758436,1140.19021939053,1202.33726856784,11.4354376122742
"Oct-25","Morton (k=1)",256.0252327014,20.783651534425,215.289275693927,296.761189708873,30445.8636148053,5291.21434074046,20075.083506954,40816.6437226566,1150.13155168604,54.5500796236974,1043.21339562359,1257.04970774849,30.4465613256474
"Oct-25","Xert (k=2)",266.931935718596,13.6744787523151,240.129957364058,293.733914073134,24148.4741739072,2418.25617924555,19408.6920625859,28888.2562852285,1047.26423053055,29.7366689575203,988.980359373813,1105.54810168729,22.9921702314769
